 offer_id |      offer_created_at      | platform | count_responds | count_prematch 
----------+----------------------------+----------+----------------+----------------
   156651 | 2022-05-01 00:06:19.938124 | admins   |              4 |              4
   156652 | 2022-05-01 00:09:08.693698 | admins   |              3 |              3
   156653 | 2022-05-01 00:09:58.212462 | admins   |              3 |              3
   156654 | 2022-05-01 00:19:04.155242 | admins   |              1 |              1
   156655 | 2022-05-01 00:19:12.827242 | admins   |              2 |              2
   156656 | 2022-05-01 00:21:10.679464 | admins   |              1 |              1
   156657 | 2022-05-01 00:26:20.651319 | admins   |              1 |              1
   156658 | 2022-05-01 00:29:16.829888 | admins   |              5 |              5
   156659 | 2022-05-01 00:44:58.651218 | admins   |              1 |              1
   156660 | 2022-05-01 00:47:35.786563 | admins   |              3 |              3
   156661 | 2022-05-01 00:51:22.110629 | admins   |              4 |              4
   156662 | 2022-05-01 01:00:54.279826 | admins   |              4 |              4
   156663 | 2022-05-01 01:09:33.797407 | admins   |              5 |              5
   156664 | 2022-05-01 01:10:22.886912 | admins   |              4 |              4
   156665 | 2022-05-01 01:19:19.89297  | admins   |              3 |              3
   156666 | 2022-05-01 01:22:26.125415 | admins   |              4 |              4
   156667 | 2022-05-01 01:28:02.507602 | admins   |              0 |              0
   156668 | 2022-05-01 01:33:51.667333 | admins   |              2 |              2
   156669 | 2022-05-01 02:18:27.841197 | admins   |              3 |              3
   156670 | 2022-05-01 03:53:37.034514 | android  |              0 |              0
   156671 | 2022-05-01 03:59:21.861641 | admins   |              0 |              0
   156672 | 2022-05-01 04:05:41.996985 | admins   |              2 |              2
   156673 | 2022-05-01 04:08:27.472473 | admins   |              5 |              5
   156674 | 2022-05-01 04:11:40.157654 | admins   |              2 |              2
   156675 | 2022-05-01 04:35:25.841018 | admins   |              0 |              0
   156676 | 2022-05-01 04:39:18.942468 | admins   |              5 |              5
   156677 | 2022-05-01 04:42:07.82113  | admins   |              1 |              1
   156678 | 2022-05-01 04:46:46.612915 | admins   |              0 |              0
   156679 | 2022-05-01 04:55:52.488474 | admins   |              4 |              4
   156680 | 2022-05-01 12:10:13.437829 | android  |              0 |              0
   156681 | 2022-05-01 13:58:41.686442 | admins   |              5 |              5
   156682 | 2022-05-01 14:02:36.072634 | admins   |              1 |              1
   156683 | 2022-05-01 14:23:28.460815 | admins   |              0 |              0
   156684 | 2022-05-01 14:26:29.850515 | admins   |              1 |              1
   156685 | 2022-05-01 14:37:59.621973 | admins   |              4 |              4
   156686 | 2022-05-01 15:03:45.121811 | admins   |              1 |              1
   156687 | 2022-05-01 15:10:04.925421 | admins   |              3 |              3
   156688 | 2022-05-01 15:18:41.537827 | admins   |              1 |              1
   156689 | 2022-05-01 15:31:21.456286 | admins   |              1 |              1
   156690 | 2022-05-01 15:34:09.265055 | admins   |              3 |              3
   156691 | 2022-05-01 15:38:05.923118 | admins   |              4 |              4
   156692 | 2022-05-01 15:39:35.844433 | admins   |              2 |              2
   156693 | 2022-05-01 15:45:41.04593  | admins   |              3 |              3
   156694 | 2022-05-01 15:47:44.496773 |          |              0 |              0
   156695 | 2022-05-01 15:50:20.515216 | admins   |              4 |              4
   156696 | 2022-05-01 15:59:53.319331 | android  |              1 |              1
   156697 | 2022-05-01 16:17:50.952268 | admins   |              0 |              0
   156698 | 2022-05-01 16:31:31.572611 | admins   |              1 |              1
   156699 | 2022-05-01 16:35:09.138525 | admins   |              1 |              1
   156700 | 2022-05-01 16:43:04.811745 | admins   |              0 |              0
   156701 | 2022-05-01 16:49:01.206496 | admins   |              1 |              1
   156702 | 2022-05-01 16:51:21.23176  | admins   |              3 |              3
   156703 | 2022-05-01 16:54:22.86343  | admins   |              3 |              3
   156704 | 2022-05-01 16:55:06.653148 | admins   |              3 |              3
   156705 | 2022-05-01 16:57:08.803206 | admins   |              1 |              1
   156706 | 2022-05-01 17:16:49.580689 | admins   |              2 |              2
   156707 | 2022-05-01 17:17:15.209014 | admins   |              3 |              3
   156708 | 2022-05-01 17:21:36.352445 | admins   |              2 |              2
   156709 | 2022-05-01 17:23:34.656353 | android  |              4 |              2
   156710 | 2022-05-01 17:24:09.648182 | admins   |              0 |              0
   156711 | 2022-05-01 17:24:29.49141  | admins   |              5 |              5
   156712 | 2022-05-01 17:24:40.585782 | admins   |              2 |              2
   156713 | 2022-05-01 17:26:20.224345 | admins   |              5 |              5
   156714 | 2022-05-01 17:27:35.09508  | admins   |              0 |              0
   156715 | 2022-05-01 17:29:09.001403 | android  |              4 |              1
   156716 | 2022-05-01 17:29:22.833742 | admins   |              4 |              4
   156717 | 2022-05-01 17:31:52.86191  | admins   |              1 |              1
   156718 | 2022-05-01 17:35:00.587205 | admins   |              2 |              2
   156719 | 2022-05-01 17:38:12.117117 | admins   |              0 |              0
